,author,content,date,retweets,likes,url
10,iamhnhm,😍,5/9/20,,,
11,weijian.wj,😱,5/9/20,,,
12,rusly.tjohnardi,Yumssss,6/9/20,,,
13,elim03,👏👏👏👏,6/9/20,,,
14,kira.lim.corgi,"I'm heading out 🛴for work soon 🙂 Dinner time is peak hour so I can earn more 💰 easily.Hope you enjoy going to work as much as I do. If you're having #mondayblues just think about the #money 🤑🤑 and those who have lost their jobs. 看在钱的份上,去做工吧!#mondaymotivation #mondayvibes #positivevibes #thinkpositive#为了钱 #foodpandasg #sgfooddelivery",16/11/20,,,
15,kira.lim.corgi,#corgi #corgicommunity #dog #cutepet #cutedog #puppy #pembrokewelshcorgi #cutecorgi #prettycorgi #corgination #corgi_ig #myfavcorgi #sgdog #sgpet #sgcorgi #corgismile #corgilife,16/11/20,,,
16,yoshi_corgi_yoshi,No off day ah?? How to date u out 😂,16/11/20,,,
17,kira.lim.corgi,@yoshi_corgi_yoshi you don't sleep so early then we can date after my work ends. I will bring you lots of food 😋😆,16/11/20,,,
18,yoshi_corgi_yoshi,@kira.lim.corgi 好滴😉别欺骗我的肚子哦😂,16/11/20,,,
19,kira.lim.corgi,@yoshi_corgi_yoshi 不会啦。我哪敢拿你肚子开玩笑😄,16/11/20,,,
20,lil_pumpkin_ho,Waaa...very hardworking 👏👏👏,16/11/20,,,
21,kira.lim.corgi,@lil_pumpkin_ho Money is my biggest motivation 💪🏻,16/11/20,,,
22,lil_pumpkin_ho,"@kira.lim.corgi 😂😅Jiayou !! For me , treats is my best motivation",16/11/20,,,
23,wolfy_brownie_maya,I order 20 🍗 liao. What time u deliver? @kira.lim.corgi 😂,16/11/20,,,
24,kira.lim.corgi,@wolfy_brownie_maya Oops just now I rang your doorbell but you never open door. So I eat on your behalf. Your 20🍗in my tummy liao (burp),16/11/20,,,
25,yukaparis.sg,So cute❣,16/11/20,,,
26,thestumpylegs,You deliver to Sengkang?,16/11/20,,,
27,kira.lim.corgi,@thestumpylegs You want me to deliver what to your heart?,16/11/20,,,
28,thestumpylegs,@kira.lim.corgi Deliver yourself to my heart 💋,16/11/20,,,
29,kira.lim.corgi,@thestumpylegs sorry uncle. 我不卖身. I only deliver food food 😋,16/11/20,,,
30,moca_hachi,Work hard! 💪🏻,16/11/20,,,
31,dogshopcw,Wha hardworking wor! Everyday work!,16/11/20,,,
32,kira.lim.corgi,@dogshopcw bo bian. I need money to buy alot of food for myself 😂,16/11/20,,,
33,dogshopcw,@kira.lim.corgi buy or steal? ☺️☺️☺️,16/11/20,,,
34,kira.lim.corgi,@dogshopcw buy and steal some😉🤣,16/11/20,,,
35,cocothemoodycorgi,💯💯💯Kira is our best employee idol 💓💓💓,16/11/20,,,
36,cocothemoodycorgi,@kira.lim.corgi I will halp to let foodpanda company about your achiebment yeah 😍😍👍🏻👍🏻 don’t forget to share some 20% commission once award is received 🤪😍🤭🤣🤝♥️♥️,17/11/20,,,
37,kira.lim.corgi,@cocothemoodycorgi No problem 😉,17/11/20,,,
38,cocothemoodycorgi,@kira.lim.corgi 😘♥️♥️♥️,17/11/20,,,
39,winnie.loves,"Yummy food at your convenience!Whipped up a quick and simple meal with these Ready to cook meals from @foodpandasg pandamart!@foodpandasg pandamart is really convenient and easy to use! You can basically find almost anything you need on there!From now till 20th Dec, enjoy $4 off your pandamart purchases (min $20) when you use [HOHOHO]",17/12/20,,,
40,insta_travel_shotz,Excellent setting 👌👌,17/12/20,,,
41,estherksz,Your flatlay 💯,17/12/20,,,
42,winnie.loves,@estherksz ❤️❤️ thanks dear,18/12/20,,,
43,jessmetez,"Oooooo, I want to eat ALL of the pasta!",17/12/20,,,
44,lindaminjukim,This spread 🤩🤩 looks so delicious,17/12/20,,,
45,defeatingdarkness2,Pasta looks amazing,17/12/20,,,
46,goanniewhere,This looks soo good!!,17/12/20,,,
47,kristythebee,Everything looks so delicious 😋,17/12/20,,,
48,jetlagjules,That looks so incredibly delicious 😍,17/12/20,,,
49,alexisjetsets,"You’ve made me crave for pasta! Perhaps, I should order one for myself this weekend 😂",17/12/20,,,
50,samanthahansen,Looks delish!,17/12/20,,,
51,thecarryonchronicles,Yum! Love the way you set this up 😍,18/12/20,,,
52,winnie.loves,@thecarryonchronicles thank you dear ❤️,18/12/20,,,
53,jenni_life886,Delicious ✨✨,18/12/20,,,
54,xncnadia,Looks so good omg😍❤️,18/12/20,,,
55,arthurthechubbyboy,Looks yummy,18/12/20,,,
56,jan_twentii,Looks so yummy and beautiful photo as always!😍 I love to use foodpanda too!,18/12/20,,,
57,efolium_global,😍😍,18/12/20,,,
58,appleohhh,@winnie.loves Looks sooo delicious! 🤤👍🏻 loving your flatlay! 😍,18/12/20,,,
59,adamba12,This looks like an ideal meal!,18/12/20,,,
60,florithewanderingsoul,Okay this looks really delish 😍,18/12/20,,,
61,irenebaby88,"Hey dear, please check your inbox ~~~",19/12/20,,,
62,meligatorr,Mmmm it looks absolutely delicious ♥️,19/12/20,,,
63,tamarkask,Wow this looks so yummy. 🍝,21/12/20,,,
64,eileensneko,Omg you seem like a great cook! It looks so good 😍😍😍,22/12/20,,,
65,xchubbykitty,Looks delicious 💖,17/12/20,,,
66,applelaikwan,Look so attractive 😍😍😋😋,17/12/20,,,
67,mintfuljourney,Looks so yummy babe 😍 gimme!,17/12/20,,,
68,wanderlustchix,Looks yummy 🤤,17/12/20,,,
69,winnie.loves,@wanderlustchix thank you dear ❤️,18/12/20,,,
70,lingweiix,Omg so yummy 😋,17/12/20,,,
71,winnie.loves,@lingweiix yess bb❤️,17/12/20,,,
72,peggy.eyes,Yummy😍😍😍😍,17/12/20,,,
73,thefancyfluff,ready to cook meals are definitely essential to have at home✨😋,17/12/20,,,
74,winnie.loves,@thefancyfluff yes definitely,17/12/20,,,
75,winnie.loves,#sgmummyblogger #sgmummy #sgfoodies #sgfoodtrend #sgfood #sgfoodstagram,17/12/20,,,
76,winnie.loves,@winnie.loves #foodflatlay #flatlayfood #flatlay #flatlaystyle #flatlaysquad #flatlayphotography #flatlaylove,17/12/20,,,
77,winnie.loves,@winnie.loves #sgfoodiary,17/12/20,,,
78,itsjustanotherwanderer,Ooo I love a bit of pasta! 😋,17/12/20,,,
79,clicked_by_riya,Wow 😍🙌,17/12/20,,,
80,katiesaway,Your photos are all so beautiful 😍,17/12/20,,,
81,winnie.loves,@katiesaway thank you ❤️,17/12/20,,,
82,winnie.loves,#clozette #winnielovesflatlay,17/12/20,,,
83,winnie.loves,#foodpanda #foodpandasg,17/12/20,,,
84,doitforicecream,I want some please❤️,17/12/20,,,
85,winnie.loves,@doitforicecream sure dear❤️,17/12/20,,,
86,chervonkhoo,Looks so yummy 👍,17/12/20,,,
87,winnie.loves,@chervonkhoo thank you ❤️,17/12/20,,,
88,michellechun_,Can I have some pasta please? 😋💖,17/12/20,,,
89,winnie.loves,@michellechun_ hhaha yes bb❤️,17/12/20,,,
90,mymypitta,Wow this looks really good ! Would love to have some,17/12/20,,,
91,winnie.loves,@mymypitta yay sure ❤️,17/12/20,,,
92,wafflenessa,Wow looks yummy! 😍,17/12/20,,,
93,_carmenyong_,Looks so yummy! 😋😋,17/12/20,,,
94,akihiko_koga,Menya Kanae Shio RamenEnjoyed refreshing light but deep taste of Shio and Tonkotsu soup with Nanae original noodle(^u^)menyakanae.com#singaporefood #sgfood #sgfoodies #foodpornsg #igsgfood #sggourmet #singaporeramen #100am #misoramen #shioramen#sgfoodie #singaporefoodie #foodstagram #sgfoodporn #menyakanae #ramensg #ramensingapore #mazesoba #singaporerestaurant #singaporeramen #sgramen #ramenheadssg #ramenmaniasg #takeawaysg #deliverysg #grabfoodsg #foodpandasg #deliveroosg #tonkotsuramen #tonkotsuramensg,26/7/20,,,
95,g.ella__,McDonald’s has officially launched islandwide on @foodpandasg ! 🥤Enjoy free delivery on McDonald’s with a minimum purchase of $25 from now till 31 January 2021 🍟🍔#foodpandasg,25/1/21,,,
96,g.ella__,•,25/1/21,,,
97,khai_1996,"@g.ella__ AWWWWWWWWESOME SHOOT WITH MCDONALD MEAL 🌌✨💎💎🌸🌸🌼🌼🌺🌺 I always love MCDONALD... FILLET OH FISH is my favourite fish burger 😇 Have a HAPPY MONDAY & HAPPY JANUARY 2021 FOR YOU, GRACE 🌌✨💎💎🌸🌸🌼🌼🌺🌺",25/1/21,,,
98,g.ella__,•••#sgfood #foodsg #sgfoodies #sgfoodie #onthetable #sgpromo #sgpromotion #sgpromos #styleoftheday #styleinspired #styleiswhat #styleblogger #fashionnova #novababe #asiangirls #sgig #igsg #sgbabes #sggirls #singaporegirl #clozette #clozetteco #gellaxadv #sp,25/1/21,,,
99,spiked_rosesxx,Yum yum in my tum tum,25/1/21,,,
100,aliciacho,How convenient now!,25/1/21,,,
101,_jxxi,Gurl I’ve never seen someone make mcdonalds look so good! 😍,25/1/21,,,
102,graceyuki,My favourite fast food 😋,29/1/21,,,
103,_shixuanxuan,Thanks for sharing yums !!,25/1/21,,,
104,ivianathui,Ohh yay another platform to order macdonald 😍,25/1/21,,,
105,james.ek,Yayyyyy,26/1/21,,,
106,tickypose,"Looking so happy here, very nice",25/1/21,,,
107,bagofbeautiful,Beautiful ❤️❤️,25/1/21,,,
108,butterflysingapore,Thank you for sharing ❤️,25/1/21,,,
109,mylinlovebellydance,Love it!😍,1/2/21,,,
110,schar.rs,😍😍😍😍,29/1/21,,,
111,chefairways,👏,25/1/21,,,
112,yuhao_tan,You are so pretty,25/1/21,,,
113,peggy.eyes,Nice😃😃,25/1/21,,,
114,girlz_fit_forever,Send me your pictures for promotion ❣️❣️,25/1/21,,,
115,jxeats,"[PROMO CODE] Did you know, you can now shop on foodpanda app for health, beauty and gadget products? You don’t have to go to the mall to get them. So convenient!From now till 28 Feb, enjoy 20% off on health & beauty, gadgets from shops such as Etude House, Guardian, Gadget Mix, Mothercare, Body Shop and Unity on foodpanda app under - Shop.Use <BIG20SALE> voucher code with minimum order of $30 and discount up to $12🐼 Delivered to your doorstep🐼 Avoid the crowd and skip the queue👍🏻I got all my cosmetics from @etudesingapore for this CNY & Vday💕So hurry, switch to using the @foodpandasg App.Thank you @foodpandasg for the good deal!😍#foodpandasg #etudehouse #jxeatsinvite",17/2/21,,,
116,jxeats,#instafood #instasg #sgfood #foodie #foodgasm #sgeats #sgfoodie #igsgfood #jiaklocal #foodsg #sgfoodporn #singaporefoodies #sgcafefood #whati8today #sgcafe #sgfoodtrend #sgfoodlover #sgfooddiary #foodstagram #sgfoodblogger #whatsfordinner #topsgrestaurants #foodphotography #sgmakandiary #followbackinstantly #sgbeauty,17/2/21,,,
117,serenefoodology,Wow.. didn't know...,17/2/21,,,
118,brickredlips,So convenient!,17/2/21,,,
119,hehousehomecafe,Oh I would love to see your GRWM look! 😍😍,18/2/21,,,
120,mspeanuteats,Wa got cosmetics now 😂,17/2/21,,,
121,shewyn_fantasia,Tml grB,17/2/21,,,
122,bryanongyy,Beautiful range of colors,19/2/21,,,
123,gizellegail,How pretty ❤️ 😍,18/2/21,,,
124,rosie_thefoodie,Love etude house 😍😍,17/2/21,,,
125,thefoodadv,Oh that's convenient!,17/2/21,,,
126,weblogaboutdisneyandfood,The products look amazing 😊,17/2/21,,,
127,foodiedab,Wow I didn’t know that... HAHA so convenient!,17/2/21,,,
128,sot.love,Ohh they also do makeups! Now I know,18/2/21,,,
129,goodhealthprettylife,Well the eyeshadow palette looks amazing and so pretty,17/2/21,,,
130,budtravelstheworld,Yay to @foodpandasg ❤️,18/2/21,,,
131,sharlynnooi,"🌯🗑 Let’s be honestttt we’ve been dabao-ing food every other day over the last few months (guilty as charged) & it’s really a lot of extra waste in the trash 😩This New Year, I am committed to reducing waste and using resusables to be kinder to the environment along with @foodpandasg 🌱Check out these @barepack.co recyclable boxes that I self collected from @pizzaexpresssg !! Being sustainable really isn’t as tedious as people think and it’s so nice to see @foodpandasg ‘s partnership with @muuse.io and @barepack to offer such great convenience to environmentally-conscious peeps like us in reducing waste and trash while we stay cosy at home 🐼❗️From 4-17 Jan - Users enjoy a $5 voucher (to be sent in 1st week of Feb 2021) for their first order with reusables- go check out the promo in-app now and let’s all do good for the environment this 2021 💪🏼#foodpandasg",9/1/21,,,
132,khai_1996,"@sharlynnooi AWWWWWWWESOME SHOOT ✨🌌💎💎🌸🌸🌼🌼🌺🌺 Have a HAPPY SATURDAY & HAPPY JANUARY 2021 FOR YOU, SHARLYN ✨🌌💎💎🌸🌸🌼🌺🌺🌺 And also have a HAPPY NEW YEAR & HAPPY CHINESE NEW YEAR 2021 FOR YOU, SHARLYN 🎊🎉🍾🥂💎🌌✨",9/1/21,,,
133,sharlynnooi,@khai_1996 3Q!,9/1/21,,,
134,muuse.io,Thanks for reducing waste 👏 @foodpandasg,9/1/21,,,
135,sharlynnooi,@muuse.io thank you for bringing convenience to us!!,9/1/21,,,
136,wilson_x1,Healthy food again!! Shiok shiok,9/1/21,,,
137,sharlynnooi,@wilson_x1 ahahaha actually not very healthy 😂😂,9/1/21,,,
138,pizzaexpresssg,Committed to good food and reducing waste 💯💚✨,9/1/21,,,
139,sharlynnooi,@pizzaexpresssg yasss love it 😍😍,9/1/21,,,
140,onadulting,Aw this is so cute!,9/1/21,,,
141,riacatherinedines,Ooooo love it 👌🏻,9/1/21,,,
142,khaosgal,This is cute 🧡,9/1/21,,,
143,_alicia.siciliana,This looks delicious 😍,9/1/21,,,
144,yc.co,ooh looks so good,9/1/21,,,
145,moriahbecker,That sounds so good 🙌🏻🙌🏻,9/1/21,,,
146,moniat__,Yess I love it ❤️,10/1/21,,,
147,petitetammie,Hmmmm looks yummy! Need some rn,10/1/21,,,
148,jizellewandertales,This looks so delicious,10/1/21,,,
149,getfit.nisah,ISSIT YOUR TURN THIS RAYA? 🥰.Meal plan untuk beriftar nanti best2 sangat! Boleh masak skali untuk sekeluarga. Family pon ikut sihat sekali. MasyaAllah besttt sangat! Make that decision now! Click link in BIO to know more details about the programme 💃🏻💃🏻.💕25 days programme💕Meal plan provided💕Recipes provided💕Group coaching💕Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute,21/3/21,,,
150,sophiensyy,Have your bubble tea and pizza at the same time with @pizzahutsg! The Boba Pizza is now available for delivery on @foodpandasg with exclusive bundle deals (till end of March) like: ⁣- 1 personal boba pizza + 1 side of your choice for $16.90⁣- 2 personal pizzas + 2 sides for $24.60 #foodpandasg,21/3/21,,,
151,fazlina_manap,"Make a decision TODAY🧚‍♂️ to be healthy🧚‍♀️ to be good role models🧚‍♀️ to lose weight🧚‍♀️ to learn new skills🧚‍♀️ to acquire new knowledgeBecause Allah will not change the condition of a people until they change what is in themselves.To join our weight loss program, click link on my bio @fazlina_manap or WhatsApp me at +97922969.#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",21/3/21,,,
152,fazlina_manap,"Our BIG WHY❤️To be good role models for our boys.❤️To break away from the cycle of obesity.❤️To learn the right skills, the right way to eat healthier.We want to show our boys that if we can do it, so can they!To learn the right skills to lose weight, come join our program!✨LINK @ BIO FOR APRIL INTAKE🧚🏼‍♀️Coach Lina +65 97922969❤️ program benefits :✨ meal plan + healthy recipe✨ online home workout videos✨ daily dieting & health topics✨ 1on1 coaching + private group support#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",21/3/21,,,
153,fazlina_manap,Why women should lift weights?Strength training is the best training technique a woman can do to change her body composition & improve health outcomes.The huge benefit to strength training is your body’s ability to burn calories during AND after exercise.Don’t worry about bulking up. Women have lower levels of testosterone (which helps build muscle mass) than men.However you can’t expect to lose weight just from working out because a clean & healthy diet still plays a MAJOR part of losing weight. 80% food intake 20% exercise and 100% mindset!#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin,21/3/21,,,
154,echayusliah_63,Well said dear ❤️,21/3/21,,,
155,tongjumchew,We are pleased to announce our partnership with PandaMart and GrabMart. 🙂Shop from home now at your convenience and get your order delivered quickly. Happy shopping!我们很高兴宣布我们与PandaMart和GrabMart的合作。🙂 现在，您可以随时在家上网订购我们的产品，并在最短的时间内收到您的订单。购物愉快哟！#TongJumChew #NaturesGreen #foodpandasg #pandamartsg #GrabMartSG #GrabSG.Published from Desktop with @InssistApp,21/3/21,,,
156,fazlina_manap,"Eat RIGHT, Not LESSNak kurus tapi tak tau nak makan apa?Tak perlu berlapar, tak perlu google recipes, tak perlu pening2 planning.Join our program! ✨✨LINK @ BIO FOR APRIL INTAKE🧚🏼‍♀️Coach Lina +65 97922969❤️ program benefits :✨ meal plan + healthy recipe✨ online home workout videos✨ daily dieting & health topics✨ 1on1 coaching + private group support#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",21/3/21,,,
157,crystalglazeofficial,"Alhamdullilah, Updates on our Wash Detailing Garage #03-04 renovation upgrades.Praying to get to wash & detail your Bikes & Rides by 23.03.2021 (Tuesday)Thank you All for the Prayers and support to make this happen. Only God can repay your kindness#bikeservicesingapore #bikewashsg #carwashsg #carwash #grabfoodsg #grabsg #deliveroosg #foodpandasg #maseratisg #mercedessg #bmwsg #porshe #lamborghinisg #supercarssg #rollsroycesg",21/3/21,,,
158,crystalglazeofficial,"Alhamdullilah, Thank you trusting us in modding your precious beast ride. Detailer x Mechanical Crew Harris Jumaat performing with guidance from Pro Foreman Sham Sid.Versatility in Crystal Glaze Garage #02-05. More then just Wash & Detailing.Have a great weekend everybody ;)#sgmotorfest #bikermods #y15 #yamahasg #hondasg #daelim #bikewashing #foodpandasg #deliveroosg #grabsg",21/3/21,,,
159,thatboatnoodles_thatmooookata,"Thanks you for your feedback and support!Operating hours is as follows:1030am - 9pm (monday - friday)“Moooo”kata starts at 4pm(monday - saturday )Sunday & PH: REST🌻Address:121, Telok Ayer Street #01-01 (inside Telok Ayer coffeee shop, stall 4)Singapore 680590#thatmooookata #thatboatnoodles #foodpandasg #telokayercoffeeshop #thaiboatnoodlessg #mookatasg #yummyfoodsg #bestbeefnoodlessg #foodpandadelivery #valueformoneymookata #celebritychoicemookatA #bestbeefnoodlessg",21/3/21,,,
160,madeinsingaporelah,"Last day today📍 Cantine Foodcourt Jurong Point1 Jurong West Central 2, JP1,#B1-42/43/44 STALL 11, Jurong Point,Singapore 648886Promotion is available from 18-21 March! Get your appetite ready and we’ll see you there 💛#dlaksa #dlaksasingapore #asamlaksa #sgfood #grabsg #grabfoodsg #foodpanda #foodpandasg",21/3/21,,,
161,getfit.nisah,"EVERY PROGRESS IS A GOOD PROGRESS! 🥰🥰.Keep doing & you will surely keep seeing results! Amazing! Yang penting, ada progress. Kalau asik duduk fikir boleh kurus ke tidak, memang tak akan ada results. Hehe! Decide, follow & commit! InsyaAllah you can achieve your goals! 💪🏼💪🏼.Click link in bio to know more details about the programme 💃🏻💃🏻.💕25 days programme💕Meal plan provided💕Recipes provided💕Group coaching💕Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",21/3/21,,,
162,botak.motor.tiam,Thank you Mobile Legends Buddy😊What we did for him- New Maxxis Diamond tyre- New Signal light- New Brake DiscCome push Rank while your bike is taken care by us🙈#sgbikes #sginstabikes #sgmotors #singaporebikes #sgriders #sglocal #sgbikers #sgbikerslife #sgbikelife #singaporebikers #aeroxsg #y15zrsg #sniper150 #xmaxsg #nmaxsg #xmaxsingapore #pcxsingapore #sgpromo #grabfoodsg #deliveroosg #foodpandasg #hondawavesg #deliverysg #deliveryrider #maxxis #rs150sg #mobilelegendssingapore,20/3/21,,,
163,syinzacat,Walau....like that caption also can ar???,21/3/21,,,
164,dhipsterkebab,"Craving for KEBAB? 🥙🥙Head down to try our Messy Pita Combo!!THE GRANDSTAND, PARADISO BY HAO200 TURF CLUB ROAD #02-K53S(287994)See you there 😎😎#pita #kebab #kebabsg #foodpandasg #foodpost #messypita #thegrandstand #paradisobyhao #foodsg #kebablovers #kebabhalal #chickenkebab",20/3/21,,,
165,laila_izyan,MEAL PLAN BERPUASA ADA TAU!🥰Tinggal nak follow & turun berat dapat dream size baju yang best tu. Sempat ke coach? Sempattt jerrr bila start this April ni atleast 1 to 2 downsized 💃🏻The choice at the tips of your fingers ☝🏼👉🏻 click link @ bio for info & enquiry🌈 @laila_izyan +65 94740557❤️ program benefits :🍱 zigzag meal plan🛒 groceries list📝 health recipes🤸🏻‍♀️ home workout🌟 rating meal session👩🏻‍🏫 healthy & dieting topics🧚🏼‍♀️ personal coach👭🏻online support group#lailaizyan #teamlailaizyan #teamlivfit🇸🇬 #lailadietclass101 #muslimahsg #hpbsg #activesg #singaporediet #eatcleansg #mummysg #singapore #diet #supportlocal #sgbridal #Suria #togetherstrongersg #mediacorpsuria #workingmum #wfh #halalsg #halalfood #popular #foodpandasg #warna942 #sgunited #pengantinsg #ctdk #islamsg #goje #pengantinsg #ctdk #islamsg,20/3/21,,,
166,su_ann1908,All Time Favourite 百年酿豆腐!😋#eat #nom #sgfood #sgfoodie #instafood #instafoodie #foodporn #foodie #foodpornsg #yum #dinner #foodpandasg #百年酿豆腐 #酿豆腐 #sglocalfood,20/3/21,,,
167,its_lyddd,My fav toooo❤️👏,21/3/21,,,
168,su_ann1908,@its_lyddd 🙌yay!❣️,21/3/21,,,
