,user,posts,date,time
94,akihiko_koga,Menya Kanae Shio RamenEnjoyed refreshing light but deep taste of Shio and Tonkotsu soup with Nanae original noodle(^u^)menyakanae.com#singaporefood #sgfood #sgfoodies #foodpornsg #igsgfood #sggourmet #singaporeramen #100am #misoramen #shioramen#sgfoodie #singaporefoodie #foodstagram #sgfoodporn #menyakanae #ramensg #ramensingapore #mazesoba #singaporerestaurant #singaporeramen #sgramen #ramenheadssg #ramenmaniasg #takeawaysg #deliverysg #grabfoodsg #foodpandasg #deliveroosg #tonkotsuramen #tonkotsuramensg,2020-07-26,01:09:32
95,g.ella__,McDonald’s has officially launched islandwide on @foodpandasg ! 🥤Enjoy free delivery on McDonald’s with a minimum purchase of $25 from now till 31 January 2021 🍟🍔#foodpandasg,2021-01-25,07:40:59
96,g.ella__,•,2021-01-25,07:41:45
97,khai_1996,"@g.ella__ AWWWWWWWWESOME SHOOT WITH MCDONALD MEAL 🌌✨💎💎🌸🌸🌼🌼🌺🌺 I always love MCDONALD... FILLET OH FISH is my favourite fish burger 😇 Have a HAPPY MONDAY & HAPPY JANUARY 2021 FOR YOU, GRACE 🌌✨💎💎🌸🌸🌼🌼🌺🌺",2021-01-25,07:43:54
98,g.ella__,•••#sgfood #foodsg #sgfoodies #sgfoodie #onthetable #sgpromo #sgpromotion #sgpromos #styleoftheday #styleinspired #styleiswhat #styleblogger #fashionnova #novababe #asiangirls #sgig #igsg #sgbabes #sggirls #singaporegirl #clozette #clozetteco #gellaxadv #sp,2021-01-25,07:45:21
99,spiked_rosesxx,Yum yum in my tum tum,2021-01-25,07:44:38
100,aliciacho,How convenient now!,2021-01-25,09:18:43
101,_jxxi,Gurl I’ve never seen someone make mcdonalds look so good! 😍,2021-01-25,10:37:01
102,graceyuki,My favourite fast food 😋,2021-01-29,05:49:26
103,_shixuanxuan,Thanks for sharing yums !!,2021-01-25,10:32:38
104,ivianathui,Ohh yay another platform to order macdonald 😍,2021-01-25,11:19:21
105,james.ek,Yayyyyy,2021-01-26,15:42:09
106,tickypose,"Looking so happy here, very nice",2021-01-25,13:28:31
107,bagofbeautiful,Beautiful ❤️❤️,2021-01-25,12:19:42
108,butterflysingapore,Thank you for sharing ❤️,2021-01-25,12:32:29
109,mylinlovebellydance,Love it!😍,2021-02-01,20:48:39
110,schar.rs,😍😍😍😍,2021-01-29,10:19:43
111,chefairways,👏,2021-01-25,16:06:34
112,yuhao_tan,You are so pretty,2021-01-25,15:27:29
113,peggy.eyes,Nice😃😃,2021-01-25,07:52:16
114,girlz_fit_forever,Send me your pictures for promotion ❣️❣️,2021-01-25,09:49:33
115,jxeats,"[PROMO CODE] Did you know, you can now shop on foodpanda app for health, beauty and gadget products? You don’t have to go to the mall to get them. So convenient!From now till 28 Feb, enjoy 20% off on health & beauty, gadgets from shops such as Etude House, Guardian, Gadget Mix, Mothercare, Body Shop and Unity on foodpanda app under - Shop.Use <BIG20SALE> voucher code with minimum order of $30 and discount up to $12🐼 Delivered to your doorstep🐼 Avoid the crowd and skip the queue👍🏻I got all my cosmetics from @etudesingapore for this CNY & Vday💕So hurry, switch to using the @foodpandasg App.Thank you @foodpandasg for the good deal!😍#foodpandasg #etudehouse #jxeatsinvite",2021-02-17,12:58:53
116,jxeats,#instafood #instasg #sgfood #foodie #foodgasm #sgeats #sgfoodie #igsgfood #jiaklocal #foodsg #sgfoodporn #singaporefoodies #sgcafefood #whati8today #sgcafe #sgfoodtrend #sgfoodlover #sgfooddiary #foodstagram #sgfoodblogger #whatsfordinner #topsgrestaurants #foodphotography #sgmakandiary #followbackinstantly #sgbeauty,2021-02-17,13:00:09
117,serenefoodology,Wow.. didn't know...,2021-02-17,14:59:02
118,brickredlips,So convenient!,2021-02-17,15:28:33
119,hehousehomecafe,Oh I would love to see your GRWM look! 😍😍,2021-02-18,01:53:13
120,mspeanuteats,Wa got cosmetics now 😂,2021-02-17,13:14:15
121,shewyn_fantasia,Tml grB,2021-02-17,19:01:03
122,bryanongyy,Beautiful range of colors,2021-02-19,08:31:04
123,gizellegail,How pretty ❤️ 😍,2021-02-18,04:22:34
124,rosie_thefoodie,Love etude house 😍😍,2021-02-17,14:13:39
125,thefoodadv,Oh that's convenient!,2021-02-17,14:58:25
126,weblogaboutdisneyandfood,The products look amazing 😊,2021-02-17,13:48:02
127,foodiedab,Wow I didn’t know that... HAHA so convenient!,2021-02-17,17:21:26
128,sot.love,Ohh they also do makeups! Now I know,2021-02-18,00:29:19
129,goodhealthprettylife,Well the eyeshadow palette looks amazing and so pretty,2021-02-17,16:06:46
130,budtravelstheworld,Yay to @foodpandasg ❤️,2021-02-18,14:55:12
131,sharlynnooi,"🌯🗑 Let’s be honestttt we’ve been dabao-ing food every other day over the last few months (guilty as charged) & it’s really a lot of extra waste in the trash 😩This New Year, I am committed to reducing waste and using resusables to be kinder to the environment along with @foodpandasg 🌱Check out these @barepack.co recyclable boxes that I self collected from @pizzaexpresssg !! Being sustainable really isn’t as tedious as people think and it’s so nice to see @foodpandasg ‘s partnership with @muuse.io and @barepack to offer such great convenience to environmentally-conscious peeps like us in reducing waste and trash while we stay cosy at home 🐼❗️From 4-17 Jan - Users enjoy a $5 voucher (to be sent in 1st week of Feb 2021) for their first order with reusables- go check out the promo in-app now and let’s all do good for the environment this 2021 💪🏼#foodpandasg",2021-01-09,11:06:01
132,khai_1996,"@sharlynnooi AWWWWWWWESOME SHOOT ✨🌌💎💎🌸🌸🌼🌼🌺🌺 Have a HAPPY SATURDAY & HAPPY JANUARY 2021 FOR YOU, SHARLYN ✨🌌💎💎🌸🌸🌼🌺🌺🌺 And also have a HAPPY NEW YEAR & HAPPY CHINESE NEW YEAR 2021 FOR YOU, SHARLYN 🎊🎉🍾🥂💎🌌✨",2021-01-09,11:09:01
133,sharlynnooi,@khai_1996 3Q!,2021-01-09,17:29:10
134,muuse.io,Thanks for reducing waste 👏 @foodpandasg,2021-01-09,11:26:16
135,sharlynnooi,@muuse.io thank you for bringing convenience to us!!,2021-01-09,17:29:32
136,wilson_x1,Healthy food again!! Shiok shiok,2021-01-09,13:41:28
137,sharlynnooi,@wilson_x1 ahahaha actually not very healthy 😂😂,2021-01-09,17:29:56
138,pizzaexpresssg,Committed to good food and reducing waste 💯💚✨,2021-01-09,13:42:27
139,sharlynnooi,@pizzaexpresssg yasss love it 😍😍,2021-01-09,17:30:13
140,onadulting,Aw this is so cute!,2021-01-09,17:28:13
141,riacatherinedines,Ooooo love it 👌🏻,2021-01-09,18:03:19
142,khaosgal,This is cute 🧡,2021-01-09,18:31:22
143,_alicia.siciliana,This looks delicious 😍,2021-01-09,18:43:32
144,yc.co,ooh looks so good,2021-01-09,20:23:30
145,moriahbecker,That sounds so good 🙌🏻🙌🏻,2021-01-09,21:22:25
146,moniat__,Yess I love it ❤️,2021-01-10,07:32:04
147,petitetammie,Hmmmm looks yummy! Need some rn,2021-01-10,07:38:22
148,jizellewandertales,This looks so delicious,2021-01-10,09:35:25
149,getfit.nisah,ISSIT YOUR TURN THIS RAYA? 🥰.Meal plan untuk beriftar nanti best2 sangat! Boleh masak skali untuk sekeluarga. Family pon ikut sihat sekali. MasyaAllah besttt sangat! Make that decision now! Click link in BIO to know more details about the programme 💃🏻💃🏻.💕25 days programme💕Meal plan provided💕Recipes provided💕Group coaching💕Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute,2021-03-21,10:44:06
150,sophiensyy,Have your bubble tea and pizza at the same time with @pizzahutsg! The Boba Pizza is now available for delivery on @foodpandasg with exclusive bundle deals (till end of March) like: ⁣- 1 personal boba pizza + 1 side of your choice for $16.90⁣- 2 personal pizzas + 2 sides for $24.60 #foodpandasg,2021-03-21,10:08:09
151,fazlina_manap,"Make a decision TODAY🧚‍♂️ to be healthy🧚‍♀️ to be good role models🧚‍♀️ to lose weight🧚‍♀️ to learn new skills🧚‍♀️ to acquire new knowledgeBecause Allah will not change the condition of a people until they change what is in themselves.To join our weight loss program, click link on my bio @fazlina_manap or WhatsApp me at +97922969.#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",2021-03-21,09:07:57
152,fazlina_manap,"Our BIG WHY❤️To be good role models for our boys.❤️To break away from the cycle of obesity.❤️To learn the right skills, the right way to eat healthier.We want to show our boys that if we can do it, so can they!To learn the right skills to lose weight, come join our program!✨LINK @ BIO FOR APRIL INTAKE🧚🏼‍♀️Coach Lina +65 97922969❤️ program benefits :✨ meal plan + healthy recipe✨ online home workout videos✨ daily dieting & health topics✨ 1on1 coaching + private group support#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",2021-03-21,08:10:51
153,fazlina_manap,Why women should lift weights?Strength training is the best training technique a woman can do to change her body composition & improve health outcomes.The huge benefit to strength training is your body’s ability to burn calories during AND after exercise.Don’t worry about bulking up. Women have lower levels of testosterone (which helps build muscle mass) than men.However you can’t expect to lose weight just from working out because a clean & healthy diet still plays a MAJOR part of losing weight. 80% food intake 20% exercise and 100% mindset!#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin,2021-03-21,07:45:28
154,echayusliah_63,Well said dear ❤️,2021-03-21,10:24:21
155,tongjumchew,We are pleased to announce our partnership with PandaMart and GrabMart. 🙂Shop from home now at your convenience and get your order delivered quickly. Happy shopping!我们很高兴宣布我们与PandaMart和GrabMart的合作。🙂 现在，您可以随时在家上网订购我们的产品，并在最短的时间内收到您的订单。购物愉快哟！#TongJumChew #NaturesGreen #foodpandasg #pandamartsg #GrabMartSG #GrabSG.Published from Desktop with @InssistApp,2021-03-21,07:04:37
156,fazlina_manap,"Eat RIGHT, Not LESSNak kurus tapi tak tau nak makan apa?Tak perlu berlapar, tak perlu google recipes, tak perlu pening2 planning.Join our program! ✨✨LINK @ BIO FOR APRIL INTAKE🧚🏼‍♀️Coach Lina +65 97922969❤️ program benefits :✨ meal plan + healthy recipe✨ online home workout videos✨ daily dieting & health topics✨ 1on1 coaching + private group support#teamlivfit #fazlina_manap #nakkurus #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickinhussein #teamahmadmizah #teamdillanur #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #kawinkawin",2021-03-21,07:01:31
157,crystalglazeofficial,"Alhamdullilah, Updates on our Wash Detailing Garage #03-04 renovation upgrades.Praying to get to wash & detail your Bikes & Rides by 23.03.2021 (Tuesday)Thank you All for the Prayers and support to make this happen. Only God can repay your kindness#bikeservicesingapore #bikewashsg #carwashsg #carwash #grabfoodsg #grabsg #deliveroosg #foodpandasg #maseratisg #mercedessg #bmwsg #porshe #lamborghinisg #supercarssg #rollsroycesg",2021-03-21,05:05:58
158,crystalglazeofficial,"Alhamdullilah, Thank you trusting us in modding your precious beast ride. Detailer x Mechanical Crew Harris Jumaat performing with guidance from Pro Foreman Sham Sid.Versatility in Crystal Glaze Garage #02-05. More then just Wash & Detailing.Have a great weekend everybody ;)#sgmotorfest #bikermods #y15 #yamahasg #hondasg #daelim #bikewashing #foodpandasg #deliveroosg #grabsg",2021-03-21,04:44:08
159,thatboatnoodles_thatmooookata,"Thanks you for your feedback and support!Operating hours is as follows:1030am - 9pm (monday - friday)“Moooo”kata starts at 4pm(monday - saturday )Sunday & PH: REST🌻Address:121, Telok Ayer Street #01-01 (inside Telok Ayer coffeee shop, stall 4)Singapore 680590#thatmooookata #thatboatnoodles #foodpandasg #telokayercoffeeshop #thaiboatnoodlessg #mookatasg #yummyfoodsg #bestbeefnoodlessg #foodpandadelivery #valueformoneymookata #celebritychoicemookatA #bestbeefnoodlessg",2021-03-21,04:23:36
160,madeinsingaporelah,"Last day today📍 Cantine Foodcourt Jurong Point1 Jurong West Central 2, JP1,#B1-42/43/44 STALL 11, Jurong Point,Singapore 648886Promotion is available from 18-21 March! Get your appetite ready and we’ll see you there 💛#dlaksa #dlaksasingapore #asamlaksa #sgfood #grabsg #grabfoodsg #foodpanda #foodpandasg",2021-03-21,02:18:19
161,getfit.nisah,"EVERY PROGRESS IS A GOOD PROGRESS! 🥰🥰.Keep doing & you will surely keep seeing results! Amazing! Yang penting, ada progress. Kalau asik duduk fikir boleh kurus ke tidak, memang tak akan ada results. Hehe! Decide, follow & commit! InsyaAllah you can achieve your goals! 💪🏼💪🏼.Click link in bio to know more details about the programme 💃🏻💃🏻.💕25 days programme💕Meal plan provided💕Recipes provided💕Group coaching💕Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",2021-03-21,01:35:57
162,botak.motor.tiam,Thank you Mobile Legends Buddy😊What we did for him- New Maxxis Diamond tyre- New Signal light- New Brake DiscCome push Rank while your bike is taken care by us🙈#sgbikes #sginstabikes #sgmotors #singaporebikes #sgriders #sglocal #sgbikers #sgbikerslife #sgbikelife #singaporebikers #aeroxsg #y15zrsg #sniper150 #xmaxsg #nmaxsg #xmaxsingapore #pcxsingapore #sgpromo #grabfoodsg #deliveroosg #foodpandasg #hondawavesg #deliverysg #deliveryrider #maxxis #rs150sg #mobilelegendssingapore,2021-03-20,22:27:53
163,syinzacat,Walau....like that caption also can ar???,2021-03-21,01:01:35
164,dhipsterkebab,"Craving for KEBAB? 🥙🥙Head down to try our Messy Pita Combo!!THE GRANDSTAND, PARADISO BY HAO200 TURF CLUB ROAD #02-K53S(287994)See you there 😎😎#pita #kebab #kebabsg #foodpandasg #foodpost #messypita #thegrandstand #paradisobyhao #foodsg #kebablovers #kebabhalal #chickenkebab",2021-03-20,16:01:54
165,laila_izyan,MEAL PLAN BERPUASA ADA TAU!🥰Tinggal nak follow & turun berat dapat dream size baju yang best tu. Sempat ke coach? Sempattt jerrr bila start this April ni atleast 1 to 2 downsized 💃🏻The choice at the tips of your fingers ☝🏼👉🏻 click link @ bio for info & enquiry🌈 @laila_izyan +65 94740557❤️ program benefits :🍱 zigzag meal plan🛒 groceries list📝 health recipes🤸🏻‍♀️ home workout🌟 rating meal session👩🏻‍🏫 healthy & dieting topics🧚🏼‍♀️ personal coach👭🏻online support group#lailaizyan #teamlailaizyan #teamlivfit🇸🇬 #lailadietclass101 #muslimahsg #hpbsg #activesg #singaporediet #eatcleansg #mummysg #singapore #diet #supportlocal #sgbridal #Suria #togetherstrongersg #mediacorpsuria #workingmum #wfh #halalsg #halalfood #popular #foodpandasg #warna942 #sgunited #pengantinsg #ctdk #islamsg #goje #pengantinsg #ctdk #islamsg,2021-03-20,14:13:58
166,su_ann1908,All Time Favourite 百年酿豆腐!😋#eat #nom #sgfood #sgfoodie #instafood #instafoodie #foodporn #foodie #foodpornsg #yum #dinner #foodpandasg #百年酿豆腐 #酿豆腐 #sglocalfood,2021-03-20,13:14:05
167,its_lyddd,My fav toooo❤️👏,2021-03-21,09:32:42
168,su_ann1908,@its_lyddd 🙌yay!❣️,2021-03-21,10:17:26
