,user,posts
164,jonnyboyeats,@jtkm93 thanks bro! 😂
165,sgnomster,So much food!
166,thehungertrack,Enjoy yr fried chicken bouquet earlier on 😋
167,jonnyboyeats,@thehungertrack hehe thanks Gervaise! 🙏
168,vincentfoodstagram,Superb yummy fried chicken 😍👍
169,naromnait,Niceyummy😁😁😁😃👍😃😁
170,bol_iao,I can imagine that kind of expression on my bed.. 😂
171,helloshaunsim,Arnold’s! Love it!
172,jonnyboyeats,@helloshaunsim good taste bro! 👍🏻
173,darr3n0ng,Enjoy
174,jonnyboyeats,@darr3n0ng thanks bro 👌
175,g.ella__,McDonald’s has officially launched islandwide on @foodpandasg ! 🥤Enjoy free delivery on McDonald’s with a minimum purchase of $25 from now till 31 January 2021 🍟🍔#foodpandasg
176,g.ella__,•
177,khai_1996,"@g.ella__ AWWWWWWWWESOME SHOOT WITH MCDONALD MEAL 🌌✨💎💎🌸🌸🌼🌼🌺🌺 I always love MCDONALD... FILLET OH FISH is my favourite fish burger 😇 Have a HAPPY MONDAY & HAPPY JANUARY 2021 FOR YOU, GRACE 🌌✨💎💎🌸🌸🌼🌼🌺🌺"
178,g.ella__,•••#sgfood #foodsg #sgfoodies #sgfoodie #onthetable #sgpromo #sgpromotion #sgpromos #styleoftheday #styleinspired #styleiswhat #styleblogger #fashionnova #novababe #asiangirls #sgig #igsg #sgbabes #sggirls #singaporegirl #clozette #clozetteco #gellaxadv #sp
179,spiked_rosesxx,Yum yum in my tum tum
180,aliciacho,How convenient now!
181,_shixuanxuan,Thanks for sharing yums !!
182,ivianathui,Ohh yay another platform to order macdonald 😍
183,schar.rs,😍😍😍😍
184,graceyuki,My favourite fast food 😋
185,james.ek,Yayyyyy
186,_jxxi,Gurl I’ve never seen someone make mcdonalds look so good! 😍
187,bagofbeautiful,Beautiful ❤️❤️
188,tickypose,"Looking so happy here, very nice"
189,mylinlovebellydance,Love it!😍
190,butterflysingapore,Thank you for sharing ❤️
191,chefairways,👏
192,yuhao_tan,You are so pretty
193,peggy.eyes,Nice😃😃
194,girlz_fit_forever,Send me your pictures for promotion ❣️❣️
195,nitchtwitch,"“DDU-DU DDU-DU... 🎶” No.. that is not just the sound of me gulping down a bottle of refreshing Pepsi, but it’s also one of the many pop anthems from BLACKPINK. 😅🖤💖.And now I can have the best of both worlds with these limited edition Pepsi x BLACKPINK drinks from 7 Eleven. They are exclusively available on @foodpandasg - where I ordered mine from. 😍👍🏻.From now until Feb 28, 2021, use code <CNY18> when you order through @foodpandasg to enjoy 18% off on snacks and drinks, with a minimum order of $18. Hurry...!!! Grab your own collection of these exclusive bottles today. 🎉✨@foodpandasg #foodpandasg"
196,paul_0619,Nice picture ~ 😉👍
197,nitchtwitch,@paul_0619 thanks 🙏🏻
198,pruris,Blackpink in your area
199,nitchtwitch,@pruris 🎶🎼🎵🎧😂
200,jasondgreat,Oh wow! A collection
201,nitchtwitch,@jasondgreat Go get yours too 😎💪🏻💪🏻
202,jojjojoko,Give me LISA! Hehe
203,nitchtwitch,@jojjojoko go get your Lisa Pepsi bottle 😝😝😝🎶🎶💯🕺
204,jojjojoko,"@nitchtwitch had two already, make me fat!!"
205,nitchtwitch,@jojjojoko 😂😂👏🏻👏🏻💪🏻💪🏻
206,thaintran0312,Nice 😉
207,nitchtwitch,@thaintran0312 thanks 🙏🏻 start collecting now 💯
208,thaintran0312,@nitchtwitch 🤗😘😉
209,__s.t.a.n.l.e.y__,🔥🔥🔥
210,nitchtwitch,@__s.t.a.n.l.e.y__ 🙌🏻🙌🏻🙌🏻🙌🏻🥳🎉🎉
211,ozt88,u not singing baby shark meh?
212,nitchtwitch,@ozt88 I sing Duu-du Duu-du now 👯‍♂️🕺🙌🏻🎉
213,danylokarlo,👏👏👏👏❤️
214,andres_loh,Handsome
215,phamhoangtruongson,❤️❤️
216,zephngai,@nitchtwitch 🥤😋👍
217,nitchtwitch,@zephngai nomnomnom 😎
218,potatolab.sg,Easter Special. Our Honey Butter Series back by popular demand. Available now. Try it today!#HoneybutterSeries #honeybutterburger #honeybuttertenders #honeybutterwings #PotatoLab #burgers #wings #tenders #grabfoodsg #foodpandasg #deliveroosg #sgmakan #potatolab #fries #potato #lab #TGIF #Fridayvibes #weekendvibes #limited
